surname,forename,initials,age_text,honours_awards,date_of_death,date_of_death2,rank,regiment,unitshipsquadron,Country,servicenumberexport,cemeterymemorial,gravereference,additionalinformation
ASHTON,ANTHONY,A,28,,29/04/1916,,Corporal,Royal Dublin Fusiliers,8th Bn.,France,'10576',LOOS MEMORIAL,Panel 127 to 129.,"Son of Edward and Elizabeth Ashton, of 23, Walverden Terrace, Clover Hill, Nelson, Lancs.; husband of Joan Ashton, of 28, Washington St. West, Cork."
ASHTON,ARCHIBALD FRANK,A F,23,,21/06/1918,,Corporal,Sherwood Foresters (Notts and Derby Regiment),2nd/6th Bn.,Germany,'241743',"NIEDERZWEHREN CEMETERY, KASSEL",V. G. 9.,"Son of John Albert and Lavinia Ann Ashton, of 65, Fatting Hay, Chisworth, Broadbottom, Manchester."
ASHTON,ARNOLD,A,21,,19/03/1945,,Warrant Officer,Royal Air Force Volunteer Reserve,140 Sqdn,Belgium,'1139291',BRUSSELS TOWN CEMETERY,X. 20. 17.,"Son of John and Ruth Ashton, of Dormanstown, Redcar, Yorkshire."
ASHTON,ARNOLD,A,29,,01/03/1944,,Stoker 1st Class,Royal Navy,H.M.S. Gould,United Kingdom,'D/KX 118320',PLYMOUTH NAVAL MEMORIAL,"Panel 89, Column 3.","Son of John and Elsie Ashton, of Newton Heath, Lancashire."
ASHTON,ARNOLD,A,30,,21/07/1944,,Guardsman,Coldstream Guards,5th Bn.,France,'2659919',BANNEVILLE-LA-CAMPAGNE WAR CEMETERY,IX. C. 7.,
ASHTON,ARTHUR,A,27,,30/03/1943,,Trooper,"Reconnaissance Corps, R.A.C.",4th Regt.,Algeria,'3456837',EL ALIA CEMETERY,12. J. 22.,"Son of Frank and Annie Ashton, of Bury, Lancashire; husband of Inga S. M. Ashton, of Bury."
ASHTON,ARTHUR,A,37,,22/02/1945,,Gunner,Royal Artillery,631 Regt.,United Kingdom,'1629426',LEEDS (ARMLEY) CEMETERY,Sec. G. Grave 1339.,"Son of Frederick and Elizabeth Ashton; husband of Winnie Ashton, of Armley, Leeds."
ASHTON,ARTHUR,A,44,,02/10/1941,,Chief Steward,Merchant Navy,S.S. Hatasu (Liverpool),United Kingdom,,TOWER HILL MEMORIAL,Panel 56.,"Husband of Winifred Ashton, of Scunthorpe, Lincolnshire."
ASHTON,ARTHUR,A,,,05/06/1915,,Private,Lancashire Fusiliers,1st/5th Bn.,Turkey (including Gallipoli),'464',HELLES MEMORIAL,Panel 59 to 73 or 218 to 219.,
ASHTON,ARTHUR DAVID,A D,30,,07/09/1943,,Pilot Officer,Royal Air Force Volunteer Reserve,233 Sqdn.,Portugal,'158260',LISBON (ST. GEORGE) BRITISH CHURCHYARD,Plot G1. Front Row. Grave 14.,"Son of Charles William and Clara Elizabeth Ashton; husband of Nellie Margaret Ashton, of Wimbledon, Surrey."
ASHTON,ARTHUR EDWARD,A E,34,,02/06/1917,,Gunner,Royal Field Artillery,"""Y"" 57th T.M. Bty.",Belgium,'202595',PLOEGSTEERT MEMORIAL,Panel 1.,"Son of Elizabeth Warren Ashton, of Clifton, Bristol, and the late R. L. Ashton; husband of Kate S. M. Ashton, of 54, Queen's Rd., Clifton, Bristol."
ASHTON,ARTHUR ERNEST,A E,22,,07/07/1916,,Private,Welsh Regiment,16th Bn.,France,'23017',THIEPVAL MEMORIAL,Pier and Face 7 A and 10 A.,"Son of William and Elizabeth Ann Ashton, of Westgate, Muddiford, Barnstaple, Devon."
ASHTON,ARTHUR RONALD,A R,23,Mentioned in Despatches,29/10/1942,,Trooper,"Royal Tank Regiment, R.A.C.",3rd,Egypt,'7344333',EL ALAMEIN WAR CEMETERY,XIII. E. 17.,"Son of William John Ashton, formerly Q.M.S., R.A.M.C., and Marian Mary Ashton, of Wavertree, Liverpool."
ASHTON,ARTHUR ROY,A R,32,,12/10/1917,,Private,"Australian Infantry, A.I.F.",49th Bn.,Belgium,'2421',YPRES (MENIN GATE) MEMORIAL,Panel 7 - 17 - 23 - 25 - 27 - 29 - 31.,"Son of Julian and Elizabeth Ashton; husband of Mary A. Ashton, of The Hospital, Tiverton, Devon, England. Native of Sydney, New South Wales."
ASHTON,ARTHUR SAMUEL JEWETT,A S J,26,,03/08/1917,,Private,Devonshire Regiment,"""D"" Coy. 2nd Bn.",Belgium,'17166',THE HUTS CEMETERY,I. C. 2.,"Son of W. and E. Ashton, of Plymouth; husband of Elizabeth Mary Manley (formerly Ashton), of 162, Swanwick Avenue, Toronto, Canada."
ASHTON,ARTHUR WILLIAM,A W,21,,25/08/1944,,Lieutenant,Royal Armoured Corps,2nd Lothians and Border Horse,Italy,'247473',AREZZO WAR CEMETERY,VI. C. 28.,"Son of Maj. A. E. Ashton, and of Maude J. S. Ashton, of West Wimbledon, Surrey."
ASHTON,AUBREY,A,19,,17/03/1920,,Private,British West Indies Regiment,8th Bn.,St. Vincent,'16769',KINGSTOWN CEMETERY,8288.,"Son of Mrs. Margaret Burnett, of Richmond Hill, St. Vincent, British West Indies."
ASHTON,BASIL BARNES,B B,24,,05/10/1943,,Fusilier,Lancashire Fusiliers,2nd Bn.,Italy,'3450756',SANGRO RIVER WAR CEMETERY,II. A. 8.,"Son of Arthur and Gertrude Ashton; husband of Annie Ashton, of Rochdale, Lancashire."
ASHTON,BASIL CEDRIC,B C,56,C B E,19/06/1945,,Colonel,Indian Medical Service,,India,,DELHI WAR CEMETERY,6. E. 14.,"Son of Frederick A. Ashton and Edith Catherine Ashton; husband of Agnes May Ashton, of Edinburgh. M.B., Ch.B. (Edin.), K.H.S."
ASHTON,BENJAMIN,B,24,,12/08/1915,,Private,"Australian Infantry, A.I.F.",2nd Bn.,Greece,'485',PORTIANOS MILITARY CEMETERY,I. A. 5.,"Son of Benjamin and Phoebe Ashton, of Coalville, Victoria, Australia."
ASHTON,BENJAMIN VICTOR,B V,,,24/12/1916,,Private,"Australian Infantry, A.I.F.",2nd Bn.,France,'5647',VILLERS-BRETONNEUX MEMORIAL,,
ASHTON,BRUCE VALENTINE,B V,23,,06/06/1944,,Sub-Lieutenant,Royal Australian Naval Volunteer Reserve,H.M.L.C.A.(HR) 1106,France,,BAYEUX WAR CEMETERY,XI. H. 1.,"Son of Ernest Valentine and Ida Minna Augusta Ashton, of Kingsford, New South Wales, Australia."
ASHTON,CALVIN,C,18,,17/11/1942,18/11/1942,Deck Boy,Merchant Navy,S.S. Widestone (London),United Kingdom,,TOWER HILL MEMORIAL,Panel 119.,"Son of Gladys Ashton, of Bute Docks, Cardiff."
ASHTON,CECIL,C,,,22/10/1917,,Private,Manchester Regiment,23rd Bn.,Belgium,'50658',TYNE COT MEMORIAL,Panel 120 to 124 and 162 to 162A and 163A.,
ASHTON,CECIL GEORGE,C G,34,,24/02/1919,,Captain,Royal Air Force,,United Kingdom,,HENDON CEMETERY AND CREMATORIUM,B. 6. 24831.,"Son of Rossi and Blanche Ashton, of Kingsmount, Kingswear, Devon. Born in Australia."
ASHTON,CECIL ROBERT,C R,26,,06/06/1944,,Lance Serjeant,Royal Engineers,26 Assault Sqn.,France,'1873873',BAYEUX WAR CEMETERY,XV. A. 5.,
ASHTON,CHARLES,C,32,,26/06/1944,,Private,Lincolnshire Regiment,4th Bn.,France,'4801203',TILLY-SUR-SEULLES WAR CEMETERY,II. F. 8.,"Son of Charles and Sophia Ashton, of Nocton, Lincolnshire."
ASHTON,CHARLES,C,38,,19/12/1941,,Master at Arms,Royal Navy,H.M.S. Neptune,United Kingdom,'D/M 39763',PLYMOUTH NAVAL MEMORIAL,"Panel 56, Column 1.",Son of Joseph Henry and Mary Ashton; husband of Jean Alice Ashton.
ASHTON,CHARLES,C,23,,13/03/1945,,Able Seaman,Merchant Navy,S.S. Taber Park (Montreal),United Kingdom,,TOWER HILL MEMORIAL,Panel 105.,"Son of Charles and Margaret Jane Ashton, of South Shields, Co. Durham."
ASHTON,CHARLES,C,,,03/05/1917,,Private,Middlesex Regiment,12th Bn.,France,'G/6035',ARRAS MEMORIAL,Bay 7.,
ASHTON,CHARLES,C,,,09/08/1916,,Private,The Loyal North Lancashire Regiment,1st/5th Bn.,France,'1965',THIEPVAL MEMORIAL,Pier and Face 11 A.,
ASHTON,CHARLES,C,38,,31/10/1914,,Private,The Loyal North Lancashire Regiment,1st Bn.,Belgium,'8110',YPRES (MENIN GATE) MEMORIAL,Panel 41 and 43.,"Son of the late Edward and Sarah Ann Ashton; husband of Elizabeth Ashton, of 25, Hempshaw Lane, Stockport."
ASHTON,CHARLES EDWARD,C E,31,,07/02/1943,,Carpenter,Merchant Navy,S.S. Harmala (London),United Kingdom,,TOWER HILL MEMORIAL,Panel 55.,"Son of Elizabeth Ashton, of Stockport, Cheshire."
ASHTON,CHARLES EDWARD,C E,,,23/04/1917,,Serjeant,Manchester Regiment,16th Bn.,France,'7074',ARRAS MEMORIAL,Bay 7.,
ASHTON,CHARLES FREDERICK,C F,29,,20/11/1917,,Private,Royal Fusiliers,20th Bn.,Belgium,'68917',LIJSSENTHOEK MILITARY CEMETERY,XXVII. B. 13.,"Son of Alfred and the late Sarah Ashton; husband of Mabel Ashton, of 137, Larches St., Sparkbrook, Birmingham. Native of Birmingham."
ASHTON,CHARLES HENRY,C H,23,,22/08/1917,,Private,Border Regiment,7th Bn.,France,'27271',"SUNKEN ROAD CEMETERY, FAMPOUX",I. D. 1.,"Son of William and Hannah Ashton, of 72, Victoria Avenue, Blackley, Manchester."
ASHTON,CHARLES NORMAN,C N,19,,25/09/1918,,Private,The King's (Liverpool Regiment),"""Y"" Coy. 1st/10th Bn.",France,'356132',"TERLINCTHUN BRITISH CEMETERY, WIMILLE",V. B. 3.,"Son of Charles and Henrietta Helen Ashton, of 38, Warbreck Moor, Aintree, Liverpool. Born at Fazackerley, Liverpool."
ASHTON,CHARLES RONALD,C R,19,,05/11/1944,,Private,York and Lancaster Regiment,The Hallamshire Bn.,Netherlands,'14655260',ROOSENDAAL-EN-NISPEN ROMAN CATHOLIC CEMETERY,Row C. Grave 10.,"Son of Daniel and Cora Evelyn Ashton, of Elton, Derbyshire."
ASHTON,CHRISTOPHER JOHN,C J,,,27/05/1918,,Private,Leicestershire Regiment,8th Bn.,France,'46967',SOISSONS MEMORIAL,,
ASHTON,CLARA COX,C C,20,,07/05/1941,,Civilian,Civilian War Dead,,Civilian War Dead,,"LIVERPOOL, COUNTY BOROUGH",,"F.A.P. Member. Daughter of Margaret Ashton, of 35C Brunswick Gardens. Died at Brunswick Gardens."
ASHTON,CLARENCE ALBERT,C A,,,11/04/1917,,Private,"Australian Infantry, A.I.F.",13th Bn.,France,'6460',VILLERS-BRETONNEUX MEMORIAL,,
ASHTON,CLAUDE THESIGER,C T,41,,31/10/1942,,Squadron Leader,Royal Air Force (Auxiliary Air Force),256 Sqdn.,United Kingdom,'90451',FRYERNING CEMETERY,Sec. B. Grave 145.,"Son of Hubert Shorrock Ashton and of Victoria Alexandrina Ashton (nee Inglis); husband of Isabel Norman Ashton (nee Norman-Butler), of Ingatestone. B.A. (Cantab.); Triple Blue for Cricket, Association Football and Hockey. Full International Cap for Association Football. Chartered Accountant."
ASHTON,CLIFFORD,C,19,,01/10/1942,,Lance Corporal,Home Guard,4th Carmarthenshire (Llandilo) Bn.,United Kingdom,,GARNANT (CHRIST CHURCH) CHURCHYARD,Grave 5.,"Son of Edward and May Ashton, of Twyn. Garnant."
ASHTON,COLIN,C,29,,25/02/1943,,Able Seaman,Royal Navy,S.S. Stockport,United Kingdom,'C/JX 255376',CHATHAM NAVAL MEMORIAL,"68, 2.","Son of Harold and Hannah Ashton, of Chorley, Lancashire."
ASHTON,COLIN,C,,,24/03/1918,,Private,Royal Warwickshire Regiment,2nd/7th Bn.,France,'32886',POZIERES MEMORIAL,Panel 18 and 19.,
ASHTON,COLIN WILLIAM,C W,27,,05/10/1943,,Fusilier,Lancashire Fusiliers,2nd Bn.,Greece,'14241646',ATHENS MEMORIAL,Face 6.,"Son of Cyril and Mary Ashton; husband of Mary A. J. Ashton, of Trafford Park, Manchester."
ASHTON,CUTHBERT,C,23,,22/10/1916,,Private,Northumberland Fusiliers,6th Bn.,France,'5050',ETRETAT CHURCHYARD,II. B. 15.,"Son of Stephen Joule and Mary Ashton, of Station Road, Hazel Grove, Cheshire."
ASHTON,CYRIL,C,24,,14/08/1944,,Trooper,Royal Armoured Corps,141st (7th Bn. The Buffs [Royal East Kent Regt.] Regt.,France,'3716818',BAYEUX MEMORIAL,"Panel 10, Column 3.","Son of William and Maud Ashton, of Blackburn, Lancashire."
ASHTON,CYRIL JAMES,C J,,,22/11/1943,,Sergeant,Royal Air Force Volunteer Reserve,10 Sqdn.,Germany,'1399659',REICHSWALD FOREST WAR CEMETERY,Coll. grave 26. A. 12-14.,
ASHTON,CYRIL JAMES,C J,23,,12/03/1918,,Captain,Queen's Own (Royal West Kent Regiment),"""C"" Coy. 6th Bn.",France,,MERVILLE COMMUNAL CEMETERY,VII. A. 42.,"Son of Reuben and Frances Jane Ashton, of ""Norton,"" Church Avenue, Sidcup, Kent. Joined Queen's Westminsters, 31st Aug., 1914. Gazetted 2nd Lt. 4th Dec., 1914. Twice previously wounded at Hohenzollern Redoubt, 1915, and Somme,1916."
ASHTON,CYRIL LESLIE,C L,32,,29/12/1945,,Craftsman,Royal Electrical and Mechanical Engineers,,Austria,'245195',KLAGENFURT WAR CEMETERY,3. D. 3.,
ASHTON,CYRIL RICHARD,C R,24,,01/11/1943,,Leading Telegraphist,Royal Navy,"H.M.S. ""Tamar""",Japan,'C/SSX20134',YOKOHAMA WAR CEMETERY,Brit. Sec. C. D. 14.,"Son of William and Edith Kate Ashton, of Gateshead, Co. Durham."
ASHTON,DANIEL,D,18,,17/05/1915,,Private,Royal Scots Fusiliers,2nd Bn.,France,'15491',LE TOURET MEMORIAL,Panel 12 and 13.,"Son of John James and Catherine Ashton, of 58, Whalley Old Rd., Blackburn."
ASHTON,DAVID ALLAN,D A,18,,14/05/1940,,Sergeant,Royal Air Force,110 Sqdn.,France,'581077',CHOLOY WAR CEMETERY,1A. C. 16,"Son of David and Isobel Eliza Ashton, of York."
ASHTON,DAVID JOHN,D J,24,,09/08/1918,,Private,Worcestershire Regiment,1st/8th Bn.,Italy,'41581',GIAVERA MEMORIAL,,"Son of William and Grace Ashton, of 32, Wernolau Rd., Ammanford, Carmarthenshire."
ASHTON,DAVID WILLIAM,D W,,,25/04/1915,,Private,Middlesex Regiment,1st/8th Bn.,Belgium,'TF/2376',YPRES (MENIN GATE) MEMORIAL,Panel 49 and 51.,
ASHTON,DENNIS GARTH,D G,20,,12/08/1940,,Pilot Officer,Royal Air Force Volunteer Reserve,266 Sqdn.,United Kingdom,'76574',RUNNYMEDE MEMORIAL,Panel 7.,"Son of Richard T. C. and Evelyn M. Ashton, of Keyworth, Nottinghamshire."
ASHTON,DENNIS KENNETH,D K,25,,26/11/1940,,Sergeant,Royal Air Force Volunteer Reserve,261 Sqdn.,Malta,'741212',MALTA (CAPUCCINI) NAVAL CEMETERY,Prot. Sec. (Men's). Plot F. Coll.grave 9.,"Son of Leonard and Margaret Helen Ashton; husband of Ethel Ashton, of Carlton, Nottinghamshire."
ASHTON,DENYS ALBAN,D A,23,,16/03/1944,,Flight Lieutenant,Royal Air Force Volunteer Reserve,294 Sqdn.,Libya,'103054',"KNIGHTSBRIDGE WAR CEMETERY, ACROMA",9. C. 5.,"Son of Frederick Charles and Lilian Amelia Ashton, of Billericay, Essex. B.Sc., Hons. Engineering (Lond.)."
ASHTON,DEREK ELLIS,D E,,,07/10/1943,,Sergeant,Royal Air Force Volunteer Reserve,149 Sqdn.,United Kingdom,'1609829',RUNNYMEDE MEMORIAL,Panel 140.,
ASHTON,DEREK KILGOUR,D K,29,,27/01/1944,,Sergeant,Royal Air Force Volunteer Reserve,166 Sqdn.,Germany,'1396278',BERLIN 1939-1945 WAR CEMETERY,Coll. grave 2. D. 5-9.,"Son of Reginald and Grace Ethel Ashton, of Lima, Peru."
ASHTON,DOUGLAS WALTER,D W,23,,07/08/1944,,Lieutenant,Somerset Light Infantry,1st Bn.,India,'160503',DELHI WAR CEMETERY,1. B. 3.,"Son of Basil Douglas and Lydia May Ashton, of Sandown, Sussex."
ASHTON,EDGAR,E,35,,15/02/1944,,Corporal,Duke of Wellington's (West Riding Regiment),1st Bn.,Italy,'4395278',ANZIO WAR CEMETERY,"II, S, 9.","Son of Thomas and Phoebe Ashton, of Middleton, Manchester; husband of Annie Ashton. of Middleton."
ASHTON,EDGAR CHARLES,E C,25,,03/09/1916,,Private,Wiltshire Regiment,"""A"" Coy. 1st Bn.",France,'3/9077',THIEPVAL MEMORIAL,Pier and Face 13 A.,"Son of Mrs. E. Ashton, of 52, Swindon Rd., Wroughton, Wilts."
ASHTON,EDMUND,E,21,,15/11/1916,,Lance Corporal,Royal Fusiliers,10th Bn.,France,'5176',PUCHEVILLERS BRITISH CEMETERY,VI. B. 6.,"Son of John and Dinah Ashton, of 185, Queen's Rd., Cheetham, Manchester."
ASHTON,EDWARD,E,21,,12/02/1944,,Motor Mechanic,Royal Navy,H.M.S. Lanka,United Kingdom,'C/MX 621236',CHATHAM NAVAL MEMORIAL,"78, 2.","Son of William and Doris Ashton. of St. Helens, Lancashire."
ASHTON,EDWARD,E,32,,12/05/1942,,Fusilier,Lancashire Fusiliers,2/6th Bn.,United Kingdom,'3460815',WESTHOUGHTON CEMETERY,Nonconformist Portion. Grave A.1262.,"Son of George and Mary Alice Ashton, of Westhoughton."
ASHTON,EDWARD,E,,,26/04/1945,,Fireman and Trimmer,Merchant Navy,S.S. Falcon (Portsmouth),United Kingdom,,EAST HAM (ST. MARY MAGDALENE) CHURCHYARD,Memorial Plaque,
ASHTON,EDWARD,E,18,,26/12/1943,,Ordinary Seaman,Royal Navy,H.M.S. Patroller,Australia,'D/JX 565396',"SPRINGVALE WAR CEMETERY, MELBOURNE",2.O.A.14.,"Son of Edward Goulding Ashton and Emily Ashton, of Weaverham, Cheshire, England."
ASHTON,EDWARD,E,,,18/02/1915,,Serjeant,Suffolk Regiment,1st Bn.,Belgium,'7028',CEMENT HOUSE CEMETERY,XVI. B. 50.,
ASHTON,EDWARD,E,,,05/05/1915,,Private,King's Shropshire Light Infantry,2nd Bn.,Belgium,'6758',YPRES (MENIN GATE) MEMORIAL,Panel 47 and 49.,
ASHTON,EDWARD ALBERT,E A,21,,25/09/1915,,Private,London Regiment,1st/7th Bn.,France,'2721',LOOS MEMORIAL,Panel 130 to 135.,"Son of Edward Albert and Alice Mary Ashton, of Welley, Datchet Common, Bucks."
ASHTON,EDWARD CHARLES,E C,25,,05/10/1914,,Serjeant,West Yorkshire Regiment (Prince of Wales's Own),1st Bn.,France,'8502',LE MANS WEST CEMETERY,Plot 38. 1914-18 Row A. Grave 48.,"Son of Mrs. Florence R. Ashton, of 38A, Buxton Rd., Leytonstone Rd., Stratford, London. Native of Peckham, London."
ASHTON,EDWARD DEAKIN,E D,27,,01/07/1916,,Second Lieutenant,Lancashire Fusiliers,9th Bn. attd. 19th Bn.,France,,AVELUY COMMUNAL CEMETERY EXTENSION,F. 38.,"Son of H. D. and Louisa Ashton, of ""Ellerslie,"" Darwen. Educated at Sedbergh School and Balliol College, Oxford."
ASHTON,EDWARD EVAN,E E,23,,22/01/1944,,Corporal,Royal Engineers,270 Field Coy.,Italy,'2016189',MINTURNO WAR CEMETERY,"II, K, 22.","Son of William and Agnes Ashton; husband of Eileen M. Ashton, of Downham, Bromley, Kent."
ASHTON,EDWARD F.,E F,,,01/07/1916,,Private,East Yorkshire Regiment,1st Bn.,France,'16184',THIEPVAL MEMORIAL,Pier and Face 2 C.,
ASHTON,EDWARD KITTOW VENNING,E K V,22,,04/12/1918,,Lieutenant,55th Coke's Rifles (Frontier Force),,Egypt,,ALEXANDRIA (HADRA) WAR MEMORIAL CEMETERY,B. 101.,"Son of Richard Laurence Ashton and Augusta Ashton, of Lower Alsworthy, Bradworthy, Devon. He went to India in Sept., 1914 with the 1st/4th Bn. Duke of Cornwall's Light Inf., and from there joined the 55th Coke's Rifles (F.F.). Was attached to the Lancers on their departure for France in 1917 and served with them in France and Palestine."
ASHTON,EDWIN,E,19,,13/07/1944,,Sergeant,Royal Air Force Volunteer Reserve,166 Sqdn.,France,'1892578',VITRY-LE-CROISE CHURCHYARD,,"Son of Henry and Gertrude Emma Ashton, of Rainham, Kent."
ASHTON,EDWIN,E,51,,11/08/1917,,Private,Royal Army Medical Corps,,United Kingdom,'107083',WADSLEY CHURCHYARD,34. N3. North.,"Husband of S. A. Ashton, of High Rd., Worrall, Sheffield."
ASHTON,EDWIN,E,20,,20/04/1915,,Rifleman,London Regiment (The Rangers),1st/12th Bn.,Belgium,'1667',YPRES (MENIN GATE) MEMORIAL,Panel 54.,"Son of Eliza Jane Ashton, of 116, Coteford St., Tooting, London, and the late E. Ashton."
ASHTON,EDWIN CHARLES,E C,,,10/12/1941,,Boy 1st Class,Royal Navy,H.M.S. Prince of Wales,United Kingdom,'D/JX 170910',PLYMOUTH NAVAL MEMORIAL,"Panel 49, Column 3.",
ASHTON,ELLIOTT,E,,,13/11/1916,,Private,Northumberland Fusiliers,1st/6th Bn.,France,'3327',THIEPVAL MEMORIAL,Pier and Face 10 B  11 B and 12 B.,
ASHTON,ELLIOTT OSWALD,E O,22,,26/03/1942,,Engine Room Artificer 4th Class,Royal Navy,H.M.S. Jaguar,United Kingdom,'C/MX 60305',CHATHAM NAVAL MEMORIAL,"60, 1.","Son of William Edward and Frances Ashton, of Mitcham, Surrey."
ASHTON,ELLIS RALPH,E R,19,,14/09/1942,,Second Lieutenant,5th Mahratta Light Infantry,5th Royal Bn.,Iraq,,BAGHDAD (NORTH GATE) WAR CEMETERY,23. B. 13.,"Son of Immanuel Aaron and Sarah Stella Ashton, of Byculla, Bombay, India."
ASHTON,ELLIS WORDSWORTH,E W,20,,23/07/1916,,Private,"Australian Infantry, A.I.F.",12th Bn.,France,'3255',VILLERS-BRETONNEUX MEMORIAL,,"Son of Mrs. A. M. Ashton, of Grove St., Ulverstone, Tasmania, and the late W. H. Ashton."
